model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy
gpt-oss:120b-cloud,adceaea0ae13_20260129194500,1,2.568687677383423,2008,242,0,,0.38095238095238093
gpt-oss:120b-cloud,adceaea0ae13_20260129194500,2,2.289152145385742,2018,253,0,,0.38095238095238093
gpt-oss:120b-cloud,adceaea0ae13_20260129194500,3,11.13699722290039,1897,1251,0,,0.38095238095238093
gpt-oss:120b-cloud,adceaea0ae13_20260129194500,4,10.486841440200806,2543,1395,0,,0.38095238095238093
gpt-oss:120b-cloud,adceaea0ae13_20260129194500,5,5.346878528594971,2029,728,0,,0.38095238095238093
gpt-oss:120b-cloud,adceaea0ae13_20260129194500,6,2.325550079345703,2262,196,0,,0.38095238095238093
gpt-oss:120b-cloud,0e251c86ab78_20260129194610,1,7.806642055511475,2008,1022,0,,0.5238095238095238
gpt-oss:120b-cloud,0e251c86ab78_20260129194610,2,2.491180419921875,2018,297,0,,0.5238095238095238
gpt-oss:120b-cloud,0e251c86ab78_20260129194610,3,5.157506465911865,1897,883,0,,0.5238095238095238
gpt-oss:120b-cloud,0e251c86ab78_20260129194610,4,5.143405199050903,2543,488,0,,0.5238095238095238
gpt-oss:120b-cloud,0e251c86ab78_20260129194610,5,6.37897515296936,2029,723,0,,0.5238095238095238
gpt-oss:120b-cloud,0e251c86ab78_20260129194610,6,5.134116888046265,1720,569,0,,0.5238095238095238
gpt-oss:120b-cloud,db4cc26d5a5f_20260129194717,1,4.022213935852051,1436,544,0,,0.47619047619047616
gpt-oss:120b-cloud,db4cc26d5a5f_20260129194717,2,4.064823150634766,2018,506,0,,0.47619047619047616
gpt-oss:120b-cloud,db4cc26d5a5f_20260129194717,3,4.431686639785767,1516,633,0,,0.47619047619047616
gpt-oss:120b-cloud,db4cc26d5a5f_20260129194717,4,4.0077807903289795,2543,519,0,,0.47619047619047616
gpt-oss:120b-cloud,db4cc26d5a5f_20260129194717,5,9.20992112159729,1487,1261,0,,0.47619047619047616
gpt-oss:120b-cloud,db4cc26d5a5f_20260129194717,6,2.9574391841888428,1720,361,0,,0.47619047619047616
gpt-oss:120b-cloud,834464593530_20260129194816,1,6.488547325134277,1436,703,0,,0.47619047619047616
gpt-oss:120b-cloud,834464593530_20260129194816,2,3.8828389644622803,1476,163,0,,0.47619047619047616
gpt-oss:120b-cloud,834464593530_20260129194816,3,5.872560739517212,1516,751,0,,0.47619047619047616
gpt-oss:120b-cloud,834464593530_20260129194816,4,2.3097658157348633,1507,236,0,,0.47619047619047616
gpt-oss:120b-cloud,834464593530_20260129194816,5,5.415292739868164,1487,814,0,,0.47619047619047616
gpt-oss:120b-cloud,834464593530_20260129194816,6,4.562084436416626,1720,481,0,,0.47619047619047616
gpt-oss:120b-cloud,057c215a1a9e_20260129194921,1,5.657493591308594,1436,667,0,,0.47619047619047616
gpt-oss:120b-cloud,057c215a1a9e_20260129194921,2,2.9308784008026123,1476,327,0,,0.47619047619047616
gpt-oss:120b-cloud,057c215a1a9e_20260129194921,3,9.719035387039185,1516,1270,0,,0.47619047619047616
gpt-oss:120b-cloud,057c215a1a9e_20260129194921,4,2.049551010131836,1507,217,0,,0.47619047619047616
gpt-oss:120b-cloud,057c215a1a9e_20260129194921,5,10.703165292739868,1487,1191,0,,0.47619047619047616
gpt-oss:120b-cloud,057c215a1a9e_20260129194921,6,2.8350586891174316,1720,303,0,,0.47619047619047616
gpt-oss:120b-cloud,e0a52a669857_20260129195033,1,1.700282096862793,1436,173,0,,0.47619047619047616
gpt-oss:120b-cloud,e0a52a669857_20260129195033,2,7.332475423812866,1476,509,0,,0.47619047619047616
gpt-oss:120b-cloud,e0a52a669857_20260129195033,3,4.454024314880371,1516,644,0,,0.47619047619047616
gpt-oss:120b-cloud,e0a52a669857_20260129195033,4,6.457079172134399,1507,721,0,,0.47619047619047616
gpt-oss:120b-cloud,e0a52a669857_20260129195033,5,7.366743087768555,1487,932,0,,0.47619047619047616
gpt-oss:120b-cloud,e0a52a669857_20260129195033,6,3.709407329559326,1720,404,0,,0.47619047619047616
gpt-oss:120b-cloud,7d233ed93b0c_20260129195136,1,2.8091914653778076,1436,202,0,,0.38095238095238093
gpt-oss:120b-cloud,7d233ed93b0c_20260129195136,2,6.967572450637817,1476,913,0,,0.38095238095238093
gpt-oss:120b-cloud,7d233ed93b0c_20260129195136,3,8.08441162109375,1516,1035,0,,0.38095238095238093
gpt-oss:120b-cloud,7d233ed93b0c_20260129195136,4,3.1359074115753174,1507,264,0,,0.38095238095238093
gpt-oss:120b-cloud,7d233ed93b0c_20260129195136,5,2.2706382274627686,1487,300,0,,0.38095238095238093
gpt-oss:120b-cloud,7d233ed93b0c_20260129195136,6,2.7370588779449463,1720,332,0,,0.38095238095238093
gpt-oss:120b-cloud,fc2a537fd4d7_20260129195242,1,5.789177894592285,1436,665,0,,0.5238095238095238
gpt-oss:120b-cloud,fc2a537fd4d7_20260129195242,2,6.608949422836304,1476,731,0,,0.5238095238095238
gpt-oss:120b-cloud,fc2a537fd4d7_20260129195242,3,8.365954160690308,1516,618,0,,0.5238095238095238
gpt-oss:120b-cloud,fc2a537fd4d7_20260129195242,4,4.285109281539917,1507,371,0,,0.5238095238095238
gpt-oss:120b-cloud,fc2a537fd4d7_20260129195242,5,9.257375478744507,1487,1270,0,,0.5238095238095238
gpt-oss:120b-cloud,fc2a537fd4d7_20260129195242,6,3.9226534366607666,1720,382,0,,0.5238095238095238
gpt-oss:120b-cloud,f527673d4798_20260129195402,1,9.756044387817383,1436,797,0,,0.5238095238095238
gpt-oss:120b-cloud,f527673d4798_20260129195402,2,3.203453779220581,1476,369,0,,0.5238095238095238
gpt-oss:120b-cloud,f527673d4798_20260129195402,3,9.131690263748169,1516,827,0,,0.5238095238095238
gpt-oss:120b-cloud,f527673d4798_20260129195402,4,3.49637508392334,1507,260,0,,0.5238095238095238
gpt-oss:120b-cloud,f527673d4798_20260129195402,5,11.851441621780396,1487,1320,0,,0.5238095238095238
gpt-oss:120b-cloud,f527673d4798_20260129195402,6,3.295116901397705,1720,411,0,,0.5238095238095238
gpt-oss:120b-cloud,7d34367022ba_20260129195520,1,3.687910795211792,1436,311,0,,0.47619047619047616
gpt-oss:120b-cloud,7d34367022ba_20260129195520,2,3.0699939727783203,1476,348,0,,0.47619047619047616
gpt-oss:120b-cloud,7d34367022ba_20260129195520,3,6.659202814102173,1516,1037,0,,0.47619047619047616
gpt-oss:120b-cloud,7d34367022ba_20260129195520,4,6.482597351074219,1507,867,0,,0.47619047619047616
gpt-oss:120b-cloud,7d34367022ba_20260129195520,5,10.296481132507324,1487,954,0,,0.47619047619047616
gpt-oss:120b-cloud,7d34367022ba_20260129195520,6,2.8212859630584717,1720,351,0,,0.47619047619047616
gpt-oss:120b-cloud,502acd659e4c_20260129195625,1,3.2718863487243652,1436,332,0,,0.47619047619047616
gpt-oss:120b-cloud,502acd659e4c_20260129195625,2,7.907830476760864,1476,879,0,,0.47619047619047616
gpt-oss:120b-cloud,502acd659e4c_20260129195625,3,5.403874397277832,1516,655,0,,0.47619047619047616
gpt-oss:120b-cloud,502acd659e4c_20260129195625,4,4.594269275665283,1507,442,0,,0.47619047619047616
gpt-oss:120b-cloud,502acd659e4c_20260129195625,5,7.63845682144165,1487,1113,0,,0.47619047619047616
gpt-oss:120b-cloud,502acd659e4c_20260129195625,6,4.87488055229187,1720,556,0,,0.47619047619047616
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,1,5.780529260635376,1436,703,0,,0.5238095238095238
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,2,2.448413848876953,1476,207,0,,0.5238095238095238
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,3,5.762318849563599,1516,673,0,,0.5238095238095238
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,4,2.2580339908599854,1507,242,0,,0.5238095238095238
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,5,9.446669578552246,1487,1416,0,,0.5238095238095238
gpt-oss:120b-cloud,0b278c4aa6cb_20260129195732,6,4.576794862747192,1720,591,0,,0.5238095238095238
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,1,5.076271057128906,1436,515,0,,0.42857142857142855
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,2,1.766361951828003,1476,210,0,,0.42857142857142855
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,3,7.095242500305176,1516,762,0,,0.42857142857142855
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,4,2.334752321243286,1507,268,0,,0.42857142857142855
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,5,8.969637393951416,1487,1554,0,,0.42857142857142855
gpt-oss:120b-cloud,e9855b2e84f9_20260129195832,6,3.413144588470459,1720,449,0,,0.42857142857142855
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,1,3.083577871322632,1436,187,0,,0.47619047619047616
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,2,3.498307704925537,1476,458,0,,0.47619047619047616
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,3,4.981810808181763,1516,815,0,,0.47619047619047616
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,4,4.103719711303711,1507,714,0,,0.47619047619047616
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,5,8.82538628578186,1487,1078,0,,0.47619047619047616
gpt-oss:120b-cloud,67b857a8c6df_20260129195933,6,4.141779184341431,1720,621,0,,0.47619047619047616
gpt-oss:120b-cloud,d451fd067146_20260129200034,1,4.660288333892822,1436,656,0,,0.47619047619047616
gpt-oss:120b-cloud,d451fd067146_20260129200034,2,2.0225441455841064,1476,225,0,,0.47619047619047616
gpt-oss:120b-cloud,d451fd067146_20260129200034,3,7.757607460021973,1516,791,0,,0.47619047619047616
gpt-oss:120b-cloud,d451fd067146_20260129200034,4,5.7559192180633545,1507,892,0,,0.47619047619047616
gpt-oss:120b-cloud,d451fd067146_20260129200034,5,6.7248029708862305,1487,1182,0,,0.47619047619047616
gpt-oss:120b-cloud,d451fd067146_20260129200034,6,3.6483142375946045,1720,406,0,,0.47619047619047616
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,1,4.330981492996216,1436,211,0,,0.38095238095238093
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,2,2.6303062438964844,1476,291,0,,0.38095238095238093
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,3,2.4896888732910156,1516,245,0,,0.38095238095238093
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,4,2.730882406234741,1507,229,0,,0.38095238095238093
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,5,8.86108112335205,1487,1231,0,,0.38095238095238093
gpt-oss:120b-cloud,157d9f4f844a_20260129200149,6,3.931051015853882,1720,575,0,,0.38095238095238093
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,1,1.6856153011322021,1436,199,0,,0.47619047619047616
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,2,2.27451229095459,1476,255,0,,0.47619047619047616
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,3,7.662568807601929,1516,961,0,,0.47619047619047616
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,4,7.126238107681274,1507,942,0,,0.47619047619047616
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,5,10.569050550460815,1487,1401,0,,0.47619047619047616
gpt-oss:120b-cloud,36b8cf4e70d0_20260129200302,6,3.096595525741577,1720,314,0,,0.47619047619047616
gpt-oss:120b-cloud,5cacf933500a_20260129200404,1,4.619812726974487,1436,569,0,,0.42857142857142855
gpt-oss:120b-cloud,5cacf933500a_20260129200404,2,2.351569175720215,1476,225,0,,0.42857142857142855
gpt-oss:120b-cloud,5cacf933500a_20260129200404,3,5.564611911773682,1516,700,0,,0.42857142857142855
gpt-oss:120b-cloud,5cacf933500a_20260129200404,4,5.809848308563232,1507,362,0,,0.42857142857142855
gpt-oss:120b-cloud,5cacf933500a_20260129200404,5,6.321605920791626,1487,1049,0,,0.42857142857142855
gpt-oss:120b-cloud,5cacf933500a_20260129200404,6,4.075150966644287,1720,485,0,,0.42857142857142855
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,1,4.492985486984253,1436,677,0,,0.42857142857142855
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,2,2.7347192764282227,1476,247,0,,0.42857142857142855
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,3,5.257136583328247,1516,665,0,,0.42857142857142855
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,4,2.269294500350952,1507,313,0,,0.42857142857142855
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,5,10.230469226837158,1487,1204,0,,0.42857142857142855
gpt-oss:120b-cloud,9f6cdc704e4b_20260129200513,6,3.7422821521759033,1720,577,0,,0.42857142857142855
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,1,5.988135576248169,1436,717,0,,0.47619047619047616
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,2,3.4463324546813965,1476,375,0,,0.47619047619047616
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,3,4.7623255252838135,1516,808,0,,0.47619047619047616
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,4,2.3453316688537598,1507,375,0,,0.47619047619047616
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,5,9.22013783454895,1487,1440,0,,0.47619047619047616
gpt-oss:120b-cloud,350c1ec87fad_20260129200648,6,2.9917118549346924,1720,364,0,,0.47619047619047616
gpt-oss:120b-cloud,9925265f0d92_20260129200757,1,5.065967798233032,1436,616,0,,0.5238095238095238
gpt-oss:120b-cloud,9925265f0d92_20260129200757,2,2.166482448577881,1476,227,0,,0.5238095238095238
gpt-oss:120b-cloud,9925265f0d92_20260129200757,3,6.824502229690552,1516,536,0,,0.5238095238095238
gpt-oss:120b-cloud,9925265f0d92_20260129200757,4,1.575648546218872,1507,162,0,,0.5238095238095238
gpt-oss:120b-cloud,9925265f0d92_20260129200757,5,8.24431562423706,1487,1268,0,,0.5238095238095238
gpt-oss:120b-cloud,9925265f0d92_20260129200757,6,5.213269472122192,1720,587,0,,0.5238095238095238
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,1,5.555624008178711,1436,607,0,,0.5238095238095238
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,2,6.219705820083618,1476,927,0,,0.5238095238095238
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,3,6.670483827590942,1516,767,0,,0.5238095238095238
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,4,2.8157923221588135,1507,328,0,,0.5238095238095238
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,5,11.433037996292114,1487,1555,0,,0.5238095238095238
gpt-oss:120b-cloud,d6b6a63bae11_20260129200913,6,3.3981218338012695,1720,413,0,,0.5238095238095238
gpt-oss:120b-cloud,8c764c741aea_20260129205104,1,167.70249342918396,1557,907,2,2.0,0.5714285714285714
gpt-oss:120b-cloud,8c764c741aea_20260129205104,2,14.920182466506958,1476,236,0,5.0,0.5714285714285714
gpt-oss:120b-cloud,8c764c741aea_20260129205104,3,15.705666780471802,1516,696,0,5.0,0.5714285714285714
gpt-oss:120b-cloud,8c764c741aea_20260129205104,4,141.8086199760437,1777,705,2,4.0,0.5714285714285714
gpt-oss:120b-cloud,8c764c741aea_20260129205104,5,85.69646382331848,1924,1464,1,4.25,0.5714285714285714
gpt-oss:120b-cloud,8c764c741aea_20260129205104,6,16.871731281280518,1720,361,0,5.0,0.5714285714285714
